Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.067218,1.1041,0.082533,0,0,0,9.25,0.028386,-5.7075E-06,-9.8079E-06,0.041168,1.3954E-06,0.062197,0,0,0,0,0,0,package://main/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf0_Link,-0.078475,0.018687,0.045086,0,0,0,0.3131,0.00021536,-1.3936E-05,0.00024407,0.00070373,8.0063E-06,0.00049996,0,0,0,0,0,0,package://main/meshes/lf0_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main/meshes/lf0_Link.STL,,upperleg-1,Origin_lf0_Link,leftjoint,lf0_Link,revolute,-0.16273,-0.039204,0.88016,1.5708,0,0.095234,base_link,0,1,0,0,0,0,0,,,,,,,,
lf1_Link,0.093195,0.00079988,0.08634,0,0,0,0.3802,0.0019587,2.6727E-05,-0.0019591,0.0042067,2.4761E-05,0.0022584,0,0,0,0,0,0,package://main/meshes/lf1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main/meshes/lf1_Link.STL,,lowerleg-1,Origin_lf1_Link,leftknee,lf1_Link,revolute,-0.13006,0,0.074724,0,-0.055633,0,lf0_Link,0,1,0,0,0,0,0,,,,,,,,
l_wheel_Link,2.1344E-14,0.034473,1.843E-14,0,0,0,1.688,0.0004649,-6.7289E-20,-4.0709E-21,0.00071923,-2.7657E-19,0.0004649,0,0,0,0,0,0,package://main/meshes/l_wheel_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main/meshes/l_wheel_Link.STL,,wheel-2,Origin_l_wheel_Link,leftwheel,l_wheel_Link,revolute,0.22007,0,0.20388,0,-0.039601,0,lf1_Link,0,-1,0,0,0,0,0,,,,,,,,
rf0_Link,-0.078475,-0.0026859,0.045086,0,0,0,0.3131,0.00021536,-1.3936E-05,0.00024407,0.00070373,8.0063E-06,0.00049996,0,0,0,0,0,0,package://main/meshes/rf0_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main/meshes/rf0_Link.STL,,upperleg-2,Origin_rf0_Link,rightjoint,rf0_Link,revolute,-0.1056,0.42657,-0.28176,3.1416,1.1382,0,l_wheel_Link,0,0,0,0,0,0,0,,,,,,,,
rf1_Link,-0.12688,-0.0018226,-0.11754,0,0,0,0.3802,0.0019587,2.6727E-05,-0.0019591,0.0042067,2.4761E-05,0.0022584,0,0,0,0,0,0,package://main/meshes/rf1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main/meshes/rf1_Link.STL,,lowerleg-2,Origin_rf1_Link,rightknee,rf1_Link,revolute,-0.21153,-0.018751,-0.214,3.1416,0.54854,3.1416,rf0_Link,0,0,0,0,0,0,0,,,,,,,,
r_wheel_Link,1.8978E-14,-0.03185,1.8707E-14,0,0,0,1.688,0.0004649,-6.7878E-20,5.4967E-21,0.00071923,-2.9606E-19,0.0004649,0,0,0,0,0,0,package://main/meshes/r_wheel_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main/meshes/r_wheel_Link.STL,,wheel-1,Origin_r_wheel_Link,rightwheel,r_wheel_Link,revolute,0,0,0,-3.1416,-1.4549,0,rf1_Link,0,1,0,0,0,0,0,,,,,,,,
