Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0044986,3.256E-05,0.28819,0,0,0,9.25,0.015059,4.8108E-07,4.8621E-06,0.021353,-6.425E-08,0.032191,0,0,0,0,0,0,package://main6/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://main6/meshes/base_link.STL,,body1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf0_Link,-0.063173,-0.016938,0.036295,0,0,0,0.31,7.4747E-05,-4.9593E-06,8.6857E-05,0.00024801,2.8492E-06,0.00017603,0,0,0,0,0,0,package://main6/meshes/lf0_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://main6/meshes/lf0_Link.STL,,upperleg11-1,Origin_lf0_Link,lj,lf0_Link,revolute,-0.091,0.187,0.315,3.1416,0.29923,0,base_link,0,1,0,0,0,0,0,,,,,,,,
lf1_Link,0.101,-0.019609,0.093571,0,0,0,0.38,0.00069059,9.4441E-06,-0.00069228,0.0014842,8.7494E-06,0.00079648,0,0,0,0,0,0,package://main6/meshes/lf1_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://main6/meshes/lf1_Link.STL,,lowerleg11-1,Origin_lf1_Link,lk,lf1_Link,revolute,-0.13006,-0.016351,0.074724,0,0.15695,0,lf0_Link,0,1,0,0,0,0,0,,,,,,,,
l_wheel_Link,0,-0.01385,-6.9389E-18,0,0,0,1.71,0.00033555,-3.3964E-20,-3.1764E-22,0.00051182,3.3976E-20,0.00033555,0,0,0,0,0,0,package://main6/meshes/l_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://main6/meshes/l_wheel_Link.STL,,wheel11-2,Origin_l_wheel_Link,lw,l_wheel_Link,continuous,0.22007,0,0.20388,3.1416,0.14082,0,lf1_Link,0,-1,0,,,,,,,,,,,,
rf0_Link,-0.063173,-0.016938,0.036295,0,0,0,0.31,7.4747E-05,-4.9593E-06,8.6857E-05,0.00024801,2.8492E-06,0.00017603,0,0,0,0,0,0,package://main6/meshes/rf0_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://main6/meshes/rf0_Link.STL,,upperleg11-2,Origin_rf0_Link,rj,rf0_Link,revolute,-0.091,-0.187,0.315,0,-0.74372,0,base_link,0,1,0,0,0,0,0,,,,,,,,
rf1_Link,0.101,-0.019609,0.093571,0,0,0,0.38,0.00069059,9.4441E-06,-0.00069228,0.0014842,8.7494E-06,0.00079648,0,0,0,0,0,0,package://main6/meshes/rf1_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://main6/meshes/rf1_Link.STL,,lowerleg11-2,Origin_rf1_Link,rk,rf1_Link,revolute,-0.13006,-0.016351,0.074724,3.1416,0.76112,3.1416,rf0_Link,0,1,0,0,0,0,0,,,,,,,,
r_wheel_Link,9.7145E-16,0.01385,4.3021E-16,0,0,0,1.71,0.00033555,-3.4103E-20,-4.2352E-22,0.00051182,3.3957E-20,0.00033555,0,0,0,0,0,0,package://main6/meshes/r_wheel_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://main6/meshes/r_wheel_Link.STL,,wheel11-1,Origin_r_wheel_Link,rw,r_wheel_Link,continuous,0.22007,0,0.20388,3.1416,-1.5063,3.1416,rf1_Link,0,-1,0,,,,,,,,,,,,
