Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.067218,-0.082533,1.1041,0,0,0,9.25,0.028386,9.8079E-06,-5.7075E-06,0.062197,-1.3954E-06,0.041168,0,0,0,0,0,0,package://main2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main2/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf0_Link,-0.078475,0.018687,0.045086,0,0,0,0.313,0.00021536,-1.3936E-05,0.00024407,0.00070373,8.0063E-06,0.00049996,0,0,0,0,0,0,package://main2/meshes/lf0_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main2/meshes/lf0_Link.STL,,upperleg-1,Origin_lf0_Link,lj,lf0_Link,revolute,-0.16273,-0.88016,-0.039204,3.1416,-0.32099,0,base_link,0,0,1,0,0,-0.3363,1.3479,,,,,,,,
lf1_Link,0.093195,0.00079988,0.08634,0,0,0,0.3802,0.0019587,2.6727E-05,-0.0019591,0.0042067,2.4761E-05,0.0022584,0,0,0,0,0,0,package://main2/meshes/lf1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main2/meshes/lf1_Link.STL,,lowerleg-2,Origin_lf1_Link,lk,lf1_Link,revolute,-0.13006,0,0.074724,0,-0.24249,0,lf0_Link,0,0,1,0,0,-0.3363,1.3479,,,,,,,,
l_wheel_Link,6.245E-15,-0.034473,3.6082E-15,0,0,0,1.6886,0.0004649,-5.6999E-18,-1.3553E-20,0.00071923,-2.4126E-19,0.0004649,0,0,0,0,0,0,package://main2/meshes/l_wheel_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main2/meshes/l_wheel_Link.STL,,wheel-2,Origin_l_wheel_Link,lw,l_wheel_Link,continuous,0.22007,0,0.20388,0,0.29322,3.1416,lf1_Link,0,0,1,,,,,,,,,,,,
rf0_Link,-0.078475,-0.018286,0.045086,0,0,0,0.3131,0.00021536,-1.3936E-05,0.00024407,0.00070373,8.0063E-06,0.00049996,0,0,0,0,0,0,package://main2/meshes/rf0_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main2/meshes/rf0_Link.STL,,upperleg-2,Origin_rf0_Link,rj,rf0_Link,revolute,-0.16273,-1.2911,-0.039204,0,-1.3639,0,base_link,0,0,1,0,0,-0.3363,1.3479,,,,,,,,
rf1_Link,0.093195,-0.019823,0.08634,0,0,0,0.3802,0.0019587,2.6727E-05,-0.0019591,0.0042067,2.4761E-05,0.0022584,0,0,0,0,0,0,package://main2/meshes/rf1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main2/meshes/rf1_Link.STL,,lowerleg-1,Origin_rf1_Link,rk,rf1_Link,revolute,-0.13006,-0.016351,0.074724,3.1416,0.36168,3.1416,rf0_Link,0,0,1,0,0,-0.3363,1.3479,,,,,,,,
r_wheel_Link,1.9429E-16,-0.01385,-5.3846E-15,0,0,0,1.6886,0.0004649,1.998E-18,2.7105E-20,0.00071923,4.4663E-19,0.0004649,0,0,0,0,0,0,package://main2/meshes/r_wheel_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://main2/meshes/r_wheel_Link.STL,,wheel-1,Origin_r_wheel_Link,rw,r_wheel_Link,continuous,0.22007,0,0.20388,3.1416,1.3325,0,rf1_Link,0,0,1,,,,,,,,,,,,
